title,authors,conference,year
EdGeo: A Physics-guided Generative AI Toolkit for Geophysical Monitoring on Edge Devices.,Junhuan Yang; Hanchen Wang 0003; Yi Sheng 0001; Youzuo Lin; Lei Yang 0018,DAC,2024
Energy Efficient Dual Designs of FeFET-Based Analog In-Memory Computing with Inherent Shift-Add Capability.,Zeyu Yang; Qingrong Huang; Yu Qian; Kai Ni 0004; Thomas Kämpfe; Xunzhao Yin,DAC,2024
EOS: An Energy-Oriented Attack Framework for Spiking Neural Networks.,Ning Yang; Fangxin Liu; Zongwu Wang; Haomin Li 0002; Zhuoran Song; Songwen Pei; Li Jiang 0002,DAC,2024
FQP: A Fibonacci Quantization Processor with Multiplication-Free Computing and Topological-Order Routing.,Xiaolong Yang; Yang Wang 0089; Yubin Qin; Jiachen Wang 0010; Shaojun Wei; Yang Hu 0001; Shouyi Yin,DAC,2024
EGMA: Enhancing Data Reuse and Workload Balancing in Message Passing GNN Acceleration via Gram Matrix Optimization.,Fangzhou Ye; Lingxiang Yin; Amir Ghazizadeh Ahsaei; Hao Zheng 0005,DAC,2024
Data-Efficient Conformalized Interval Prediction of Minimum Operating Voltage Capturing Process Variations.,Yuxuan Yin; Rebecca Chen; Chen He; Peng Li 0001,DAC,2024
zeroTT: A Two-Step State Transition Avoidance Scheme for MLC STT-RAM.,Dong Yin; Huizhang Luo; Jeff Zhang 0001; Mingxing Duan; Wangdong Yang; Zhuo Tang; Kenli Li 0001,DAC,2024
Fused Sampling and Grouping with Search Space Reduction for Efficient Point Cloud Acceleration.,Hyunsung Yoon; Jae-Joon Kim,DAC,2024
Efficient Code Generation for Data-Intensive Simulink Models via Redundancy Elimination.,Zehong Yu; Zhuo Su 0005; Yu Jiang 0001; Aiguo Cui; Rui Wang 0024,DAC,2024
CDA-GNN: A Chain-driven Accelerator for Efficient Asynchronous Graph Neural Network.,Hui Yu; Yu Zhang 0027; Ligang He; Donghao He; Qikun Li; Jin Zhao 0003; Xiaofei Liao; Hai Jin 0001; Lin Gu 0002; Haikun Liu,DAC,2024
RTGA: A Redundancy-free Accelerator for High-Performance Temporal Graph Neural Network Inference.,Hui Yu; Yu Zhang 0027; Andong Tan; Chenze Lu; Jin Zhao 0003; Xiaofei Liao; Hai Jin 0001; Haikun Liu,DAC,2024
SPFuzz: Stateful Path based Parallel Fuzzing for Protocols in Autonomous Vehicles.,Junze Yu; Zhengxiong Luo 0002; Fangshangyuan Xia; Yanyang Zhao; Heyuan Shi; Yu Jiang 0001,DAC,2024
EDGE-LLM: Enabling Efficient Large Language Model Adaptation on Edge Devices via Unified Compression and Adaptive Layer Voting.,Zhongzhi Yu; Zheng Wang; Yuhan Li; Ruijie Gao; Xiaoya Zhou; Sreenidhi Reddy Bommu; Yang Katie Zhao; Yingyan (Celine) Lin,DAC,2024
CAP: A General Purpose Computation-in-memory with Content Addressable Processing Paradigm.,Zhiheng Yue; Shaojun Wei; Yang Hu 0001; Shouyi Yin,DAC,2024
Net Resource Allocation: A Desirable Initial Routing Step.,Zhisheng Zeng; Jikang Liu; Zhipeng Huang 0009; Ye Cai 0001; Biwei Xie; Yungang Bao; Xingquan Li,DAC,2024
Safe Controller Synthesis for Nonlinear Systems via Reinforcement Learning and PAC Approximation.,Xia Zeng; Banglong Liu; Zhenbing Zeng; Zhiming Liu 0001; Zhengfeng Yang,DAC,2024
Hyb-Learn: A Framework for On-Device Self-Supervised Continual Learning with Hybrid RRAM/SRAM Memory.,Fan Zhang 0069; Li Yang 0009; Deliang Fan,DAC,2024
ThermalScope: A Practical Interrupt Side Channel Attack Based on Thermal Event Interrupts.,Xin Zhang 0110; Zhi Zhang 0001; Qingni Shen; Wenhao Wang 0001; Yansong Gao 0001; Zhuoxi Yang; Zhonghai Wu,DAC,2024
FNM-Trans: Efficient FPGA-based Transformer Architecture with Full N: M Sparsity.,Manting Zhang; Jialin Cao; Kejia Shi; Keqing Zhao; Genhao Zhang; Jun Yu 0010; Kun Wang 0005,DAC,2024
Laser Shield: a Physical Defense with Polarizer against Laser Attacks on Autonomous Driving Systems.,Qingjie Zhang; Lijun Chi; Di Wang; Mounira Msahli; Gérard Memmi; Tianwei Zhang 0004; Chao Zhang 0008; Han Qiu 0001,DAC,2024
Hardware-Aware Neural Dropout Search for Reliable Uncertainty Prediction on FPGA.,Zehuan Zhang; Hongxiang Fan; Hao Mark Chen; Lukasz Dudziak; Wayne Luk,DAC,2024
EmMark: Robust Watermarks for IP Protection of Embedded Quantized Large Language Models.,Ruisi Zhang; Farinaz Koushanfar,DAC,2024
AdderNet 2.0: Optimal FPGA Acceleration of AdderNet with Activation-Oriented Quantization and Fused Bias Removal based Memory Optimization.,Yunxiang Zhang; Omar Al Kailani; Wenfeng Zhao,DAC,2024
G-PASTA: GPU-Accelerated Partitioning Algorithm for Static Timing Analysis.,Boyang Zhang; Dian-Lun Lin; Che Chang; Cheng-Hsiang Chiu; Bojue Wang; Wan-Luan Lee; Chih-Chun Chang; Donghao Fang; Tsung-Wei Huang,DAC,2024
SpREM: Exploiting Hamming Sparsity for Fast Quantum Readout Error Mitigation.,Hanyu Zhang; Liqiang Lu; Siwei Tan; Size Zheng 0001; Jia Yu; Jianwei Yin,DAC,2024
SpectraFlux: Harnessing the Flow of Multi-FPGA in Mass Spectrometry Clustering.,Tianqi Zhang; Neha Prakriya; Sumukh Pinge; Jason Cong; Tajana Rosing,DAC,2024
EasyACIM: An End-to-End Automated Analog CIM with Synthesizable Architecture and Agile Design Space Exploration.,Haoyi Zhang; Jiahao Song; Xiaohan Gao; Xiyuan Tang; Yibo Lin; Runsheng Wang; Ru Huang 0001,DAC,2024
Efficient Memory Integration: MRAM-SRAM Hybrid Accelerator for Sparse On-Device Learning.,Fan Zhang 0069; Amitesh Sridharan; Wilman Tsai; Yiran Chen 0001; Shan X. Wang; Deliang Fan,DAC,2024
DH-TRNG: A Dynamic Hybrid TRNG with Ultra-High Throughput and Area-Energy Efficiency.,Yuan Zhang; Kuncai Zhong; Jiliang Zhang 0002,DAC,2024
Fracturing-aware Curvilinear ILT via Circular E-beam Mask Writer.,Xinyun Zhang; Su Zheng; Guojin Chen; Binwu Zhu; Hong Xu 0001; Bei Yu 0001,DAC,2024
"Disentangle, Align and Generalize: Learning A Timing Predictor from Different Technology Nodes.",Xinyun Zhang; Binwu Zhu; Fangzhou Liu; Ziyi Wang 0010; Peng Xu 0052; Hong Xu 0001; Bei Yu 0001,DAC,2024
A High-Performance Stochastic Simulated Bifurcation Ising Machine.,Tingting Zhang; Hongqiao Zhang; Zhengkun Yu; Siting Liu 0001; Jie Han 0001,DAC,2024
An Efficient Hardware Accelerator Design for Dynamic Graph Convolutional Network (DGCN) Inference.,Yingnan Zhao 0001; Ke Wang 0030; Jiaqi Yang; Ahmed Louri,DAC,2024
A RRAM-based High Energy-efficient Accelerator Supporting Multimodal Tasks for Virtual Reality Wearable Devices.,Xin Zhao 0044; Zhicheng Hu; Zilong Guo; Haodong Fan; Xi Yang; Jing Zhou; Liang Chang 0002,DAC,2024
Neural Barrier Certificates Synthesis of NN-Controlled Continuous Systems via Counterexample-Guided Learning.,Hanrui Zhao; Niuniu Qi; Mengxin Ren; Xia Zeng; Zhenbing Zeng; Zhengfeng Yang,DAC,2024
3D-Carbon: An Analytical Carbon Modeling Tool for 3D and 2.5D Integrated Circuits.,Yujie Zhao; Yang Katie Zhao; Cheng Wan 0005; Yingyan Celine Lin,DAC,2024
Multi-Resonance Mesh-Based Wavelength-Routed Optical Networks-on-Chip.,Zhidan Zheng; Liaoyuan Cheng; Kanta Arisawa; Qingyu Li; Alexandre Truppel; Shigeru Yamashita; Tsun-Ming Tseng; Ulf Schlichtmann,DAC,2024
Improving the Efficiency of In-Memory-Computing Macro with a Hybrid Analog-Digital Computing Mode for Lossless Neural Network Inference.,Qilin Zheng; Ziru Li; Jonathan Ku; Yitu Wang; Brady Taylor; Deliang Fan; Yiran Chen 0001,DAC,2024
EMOGen: Enhancing Mask Optimization via Pattern Generation.,Su Zheng; Yuzhe Ma; Bei Yu 0001; Martin D. F. Wong,DAC,2024
CAMPER: Exploring the Potential of Content Addressable Memory for 3D Point Cloud Efficient Range Search.,Jiapei Zheng; Lizhou Wu; Yutong Su; Jingyi Wang; Zhangcheng Huang 0001; Chixiao Chen; Qi Liu 0010,DAC,2024
Graph Neural Networks Automated Design and Deployment on Device-Edge Co-Inference Systems.,Ao Zhou; Jianlei Yang 0001; Tong Qiao; Yingjie Qi; Zhi Yang 0001; Weisheng Zhao; Chunming Hu,DAC,2024
DNN-Defender: A Victim-Focused In-DRAM Defense Mechanism for Taming Adversarial Weight Attack on DNNs.,Ranyang Zhou; Sabbir Ahmed; Adnan Siraj Rakin; Shaahin Angizi,DAC,2024
LVF2: A Statistical Timing Model based on Gaussian Mixture for Yield Estimation and Speed Binning.,Junzhuo Zhou; Li Huang; Haoxuan Xia; Yihui Cai; Leilei Jin; Xiao Shi 0001; Wei W. Xing; Ting-Jung Lin; Lei He 0001,DAC,2024
EnTurbo: Accelerate Confidential Serverless Computing via Parallelizing Enclave Startup Procedure.,Yifan Zhu 0008; Peinan Li; Yunkai Bai; Yubiao Huang; Shiwen Wang 0002; Xingbin Wang; Dan Meng 0002; Rui Hou 0001,DAC,2024
ScaleFold: Reducing AlphaFold Initial Training Time to 10 Hours.,Feiwen Zhu; Arkadiusz Nowaczynski; Rundong Li; Jie Xin; Yifei Song; Michal Marcinkiewicz; Sukru Burc Eryilmaz; Jun Yang; Michael Andersch,DAC,2024
Late Breaking Results: Mixed-Cell-Height Detailed Placement under Multi-Cell Spacing Constraints.,Benchao Zhu; Zheng Zeng; Jianli Chen,DAC,2024
Late Breaking Results: Evaluation of Human Action Quality with Linear Recurrent Units and Graph Attention Networks on Embedded Systems.,Filippo Ziche; Nicola Bombieri,DAC,2024
PONO: Power Optimization with Near Optimal SMT-based Sub-circuit Generation.,Sunan Zou; Guojie Luo,DAC,2024
"Proceedings of the 61st ACM/IEEE Design Automation Conference, DAC 2024, San Francisco, CA, USA, June 23-27, 2024",Vivek De,DAC,2024
BitMoD: Bit-serial Mixture-of-Datatype LLM Acceleration.,Yuzong Chen 0001; Ahmed F. AbouElhamayed; Xilai Dai; Yang Wang; Marta Andronic; George A. Constantinides; Mohamed S. Abdelfattah,HPCA,2025
Push Multicast: A Speculative and Coherent Interconnect for Mitigating Manycore CPU Communication Bottleneck.,Jiayi Huang 0001; Yanhua Chen; Zhe Wang 0023; Christopher J. Hughes; Yufei Ding 0001; Yuan Xie 0001,HPCA,2025
LEGO: Spatial Accelerator Generation and Optimization for Tensor Applications.,Yujun Lin 0001; Zhekai Zhang; Song Han 0003,HPCA,2025
VQ-LLM: High-performance Code Generation for Vector Quantization Augmented LLM Inference.,Zihan Liu 0002; Xinhao Luo; Junxian Guo; Wentao Ni; Yangjie Zhou 0001; Yue Guan 0003; Cong Guo 0003; Weihao Cui; Yu Feng 0007; Minyi Guo; Yuhao Zhu 0001; Minjia Zhang; Chen Jin; Jingwen Leng,HPCA,2025
Efficient Memory Side-Channel Protection for Embedding Generation in Machine Learning.,Muhammad Umar 0002; Akhilesh Parag Marathe; Monami Dutta Gupta; Shubham Jogprakash Ghosh; G. Edward Suh; Wenjie Xiong 0001,HPCA,2025
Ariadne: A Hotness-Aware and Size-Adaptive Compressed Swap Technique for Fast Application Relaunch and Reduced CPU Usage on Mobile Devices.,Yu Liang 0004; Aofeng Shen; Chun Jason Xue; Riwei Pan; Haiyu Mao; Nika Mansouri-Ghiasi; Qingcai Jiang; Rakesh Nadig; Lei Li; Rachata Ausavarungnirun; Mohammad Sadrosadati; Onur Mutlu,HPCA,2025
Anaheim: Architecture and Algorithms for Processing Fully Homomorphic Encryption in Memory.,Jongmin Kim 0007; Sungmin Yun 0001; Hyesung Ji; Wonseok Choi 0015; Sangpyo Kim; Jung Ho Ahn,HPCA,2025
QuCLEAR: Clifford Extraction and Absorption for Quantum Circuit Optimization.,Ji Liu 0007; Alvin Gonzales; Benchen Huang; Zain Hamid Saleem; Paul D. Hovland,HPCA,2025
DPUaudit: DPU-assisted Pull-based Architecture for Near-Zero Cost System Auditing.,Peng Jiang 0007; Hanlin Jiang; Ruizhe Huang; Hanwen Lei; Zhineng Zhong; Shaokun Zhang; Yuxin Ren 0001; Ning Jia; Xinwei Hu; Yao Guo 0001; Xiangqun Chen; Ding Li 0001,HPCA,2025
SpecMPK: Efficient In-Process Isolation with Speculative and Secure Permission Update Instruction.,Debpratim Adak; Huiyang Zhou; Eric Rotenberg; Amro Awad,HPCA,2025
No Rush in Executing Atomic Instructions.,Ashkan Asgharzadeh; Josué Feliu; Manuel E. Acacio; Stefanos Kaxiras; Alberto Ros 0001,HPCA,2025
Efficient Caching with A Tag-enhanced DRAM.,Maryam Babaie; Ayaz Akram; Wendy Elsasser; Brent Haukness; Michael R. Miller; Taeksang Song; Thomas Vogelsang; Steven C. Woo; Jason Lowe-Power,HPCA,2025
Architecting Space Microdatacenters: A System-level Approach.,Nathan Bleier; Rick Eason; Michael Lembeck; Rakesh Kumar,HPCA,2025
ChameleonEC: Exploiting Tunability of Erasure Coding for Low-Interference Repair.,Yuhui Cai; Shiyao Lin; Zhirong Shen; Jiahui Yang; Jiwu Shu,HPCA,2025
"SoMa: Identifying, Exploring, and Understanding the DRAM Communication Scheduling Space for DNN Accelerators.",Jingwei Cai; Xuan Wang; Mingyu Gao 0001; Sen Peng; Zijian Zhu; Yuchen Wei; Zuotong Wu; Kaisheng Ma,HPCA,2025
Chronus: Understanding and Securing the Cutting-Edge Industry Solutions to DRAM Read Disturbance.,Oguzhan Canpolat; A. Giray Yaglikçi; Geraldo F. Oliveira; Ataberk Olgun; Nisa Bostanci; Ismail Emir Yuksel; Haocong Luo; Oguz Ergin; Onur Mutlu,HPCA,2025
Veritas - Demystifying Silent Data Corruptions: μArch-Level Modeling and Fleet Data of Modern x86 CPUs.,Odysseas Chatzopoulos; Nikos Karystinos; George Papadimitriou 0001; Dimitris Gizopoulos; Harish Dattatraya Dixit; Sriram Sankar,HPCA,2025
Mithril: A Scalable System for Deep GNN Training.,Jingji Chen; Zhuoming Chen; Xuehai Qian,HPCA,2025
"NVMePass: A Lightweight, High-performance and Scalable NVMe Virtualization Architecture with I/O Queues Passthrough.",Yiquan Chen; Zhen Jin 0008; Yijing Wang; Yi Chen; Jiexiong Xu; Hao Yu; Jinlong Chen; Wenhai Lin; Kanghua Fang; Keyao Zhang; Chengkun Wei; Qiang Liu; Yuan Xie 0001; Wenzhi Chen,HPCA,2025
AsyncDIMM: Achieving Asynchronous Execution in DIMM-Based Near-Memory Processing.,Liyan Chen; Dongxu Lyu; Jianfei Jiang 0001; Qin Wang 0009; Zhigang Mao; Naifeng Jing,HPCA,2025
Grad: Intelligent Microservice Scaling by Harnessing Resource Fungibility.,Liao Chen; Chenyu Lin; Shutian Luo; Huanle Xu; Chengzhong Xu 0001,HPCA,2025
Gaze into the Pattern: Characterizing Spatial Patterns with Internal Temporal Correlations for Hardware Prefetching.,Zixiao Chen; Chentao Wu; Yunfei Gu; Ranhao Jia; Jie Li 0002; Minyi Guo,HPCA,2025
eDKM: An Efficient and Accurate Train-Time Weight Clustering for Large Language Models.,Minsik Cho; Keivan Alizadeh-Vahid; Qichen Fu; Saurabh Adya; Carlo C. del Mundo; Mohammad Rastegari; Devang Naik; Peter Zatloukal,HPCA,2025
Bit-slice Architecture for DNN Acceleration with Slice-level Sparsity Enhancement and Exploitation.,Insu Choi; Young-Seo Yoon; Joon-Sung Yang,HPCA,2025
Enhancing Large-Scale AI Training Efficiency: The C4 Solution for Real-Time Anomaly Detection and Communication Optimization.,Jianbo Dong; Bin Luo; Jun Zhang; Pengcheng Zhang; Fei Feng; Yikai Zhu; Ang Liu; Zian Chen; Yi Shi; Hairong Jiao; Gang Lu; Yu Guan; Ennan Zhai; Wencong Xiao; Hanyu Zhao; Man Yuan; Siran Yang; Xiang Li; Jiamang Wang; Rui Men; Jianwei Zhang; Chang Zhou; Dennis Cai; Yuan Xie; Binzhang Fu,HPCA,2025
R.I.P. Geomean Speedup Use Equal-Work (Or Equal-Time) Harmonic Mean Speedup Instead.,Lieven Eeckhout,HPCA,2025
CORDOBA: Carbon-Efficient Optimization Framework for Computing Systems.,Mariam Elgamal; Doug Carmean; Elnaz Ansari; Okay Zed; Ramesh Peri; Srilatha Manne; Udit Gupta 0001; Gu-Yeon Wei; David Brooks 0001; Gage Hills; Carole-Jean Wu,HPCA,2025
WarpDrive: GPU-Based Fully Homomorphic Encryption Acceleration Leveraging Tensor and CUDA Cores.,Guang Fan; Mingzhe Zhang; Fangyu Zheng; Shengyu Fan; Tian Zhou; Xianglong Deng; Wenxu Tang; Liang Kong; Yixuan Song; Shoumeng Yan,HPCA,2025
Rethinking Dead Block Prediction for Intermittent Computing.,Gan Fang; Changhee Jung,HPCA,2025
Anda: Unlocking Efficient LLM Inference with a Variable-Length Grouped Activation Data Format.,Chao Fang 0005; Man Shi; Robin Geens; Arne Symons; Zhongfeng Wang 0001; Marian Verhelst,HPCA,2025
NOVA: A Novel Vertex Management Architecture for Scalable Graph Processing.,Marjan Fariborz; Mahyar Samani; Austin York; S. J. Ben Yoo; Jason Lowe-Power; Venkatesh Akella,HPCA,2025
PROCA: Programmable Probabilistic Processing Unit Architecture with Accept/Reject Prediction &amp; Multicore Pipelining for Causal Inference.,Yihan Fu; Anjunyi Fan; Wenshuo Yue; Hongxiao Zhao; Daijing Shi; Qiuping Wu; Jiayi Li; Xiangyu Zhang; Yaoyu Tao; Yuchao Yang 0001; Bonan Yan,HPCA,2025
The Importance of Generalizability in Machine Learning for Systems.,Varun Gohil; Sundar Dev; Gaurang Upasani; David Lo 0003; Parthasarathy Ranganathan; Christina Delimitrou,HPCA,2025
ER-DCIM: Error-Resilient Digital CIM Architecture with Run-Time MAC-Cell Error Correction.,Zhen He; Yiqi Wang 0005; Zihan Wu 0006; Shaojun Wei; Yang Hu 0001; Fengbin Tu; Shouyi Yin,HPCA,2025
GSArch: Breaking Memory Barriers in 3D Gaussian Splatting Training via Architectural Support.,Houshu He; Gang Li 0015; Fangxin Liu; Li Jiang 0002; Xiaoyao Liang; Zhuoran Song,HPCA,2025
EXION: Exploiting Inter-and Intra-Iteration Output Sparsity for Diffusion Models.,Jaehoon Heo; Adiwena Putra; Jieon Yoon; Sungwoong Yune; Hangyeol Lee; Ji-Hoon Kim 0004; Joo-Young Kim 0001,HPCA,2025
M-ANT: Efficient Low-bit Group Quantization for LLMs via Mathematically Adaptive Numerical Type.,Weiming Hu 0005; Haoyan Zhang; Cong Guo 0003; Yu Feng 0007; Renyang Guan; Zhendong Hua; Zihan Liu 0002; Yue Guan 0003; Minyi Guo; Jingwen Leng,HPCA,2025
EFFACT: A Highly Efficient Full-Stack FHE Acceleration Platform.,Yi Huang 0036; Xinsheng Gong; Xiangyu Kong; Dibei Chen; Jianfeng Zhu 0001; Wenping Zhu; Liangwei Li; Mingyu Gao 0001; Shaojun Wei; Aoyang Zhang; Leibo Liu,HPCA,2025
Efficient Optimization with Encoded Ising Models.,Devrath Iyer; Sara Achour,HPCA,2025
SparseWeaver: Converting Sparse Operations as Dense Operations on GPUs for Graph Workloads.,Shinnung Jeong; Liam Paul Coopert; Ju Min Lee; Heelim Choi; Nicholas Parnenzini; Chihyo Ahn; Yongwoo Lee 0001; Hanjun Kim 0001; Hyesoon Kim,HPCA,2025
Warped-Compaction: Maximizing GPU Register File Bandwidth Utilization via Operand Compaction.,Eunbi Jeong; Ipoom Jeong; Myung Kuk Yoon; Nam Sung Kim,HPCA,2025
EIGEN: Enabling Efficient 3DIC Interconnect with Heterogeneous Dual-Layer Network-on-Active-Interposer.,Siyao Jia; Bo Jiao 0003; Haozhe Zhu; Chixiao Chen; Qi Liu 0010; Ming Liu 0022,HPCA,2025
Zebra: Efficient Redundant Array of Zoned Namespace SSDs Enabled by Zone Random Write Area (ZRWA).,Tianyang Jiang; Guangyan Zhang; Xiaojian Liao; Yuqi Zhou,HPCA,2025
throttLL&apos;eM: Predictive GPU Throttling for Energy Efficient LLM Inference Serving.,Andreas Kosmas Kakolyris; Dimosthenis Masouros; Petros Vavaroutsos; Sotirios Xydis; Dimitrios Soudris,HPCA,2025
Panacea: Novel DNN Accelerator using Accuracy-Preserving Asymmetric Quantization and Energy-Saving Bit-Slice Sparsity.,Dongyun Kam; Myeongji Yun; Sunwoo Yoo; Seungwoo Hong; Zhengya Zhang; Youngjoo Lee,HPCA,2025
Multi-Dimensional Vector ISA Extension for Mobile In-Cache Computing.,Alireza Khadem; Daichi Fujiki; Hilbert Chen; Yufeng Gu; Nishil Talati; Scott A. Mahlke; Reetuparna Das,HPCA,2025
BrokenSleep: Remote Power Timing Attack Exploiting Processor Idle States.,Hyosang Kim; Ki-Dong Kang; Gyeongseo Park; Seungkyu Lee 0002; Daehoon Kim 0001,HPCA,2025
Ditto: Accelerating Diffusion Model via Temporal Value Similarity.,Sungbin Kim; Hyunwuk Lee; Wonho Cho; Mincheol Park; Won Woo Ro,HPCA,2025
LSQCA: Resource-Efficient Load/Store Architecture for Limited-Scale Fault-Tolerant Quantum Computing.,Takumi Kobori; Yasunari Suzuki; Yosuke Ueno; Teruo Tanimoto; Synge Todo; Yuuki Tokunaga,HPCA,2025
Revisiting Reliability in Large-Scale Machine Learning Research Clusters.,Apostolos Kokolis; Michael Kuchnik; John Hoffman; Adithya Kumar; Parth Malani; Faye Ma; Zachary DeVito; Shubho Sengupta; Kalyan Saladi; Carole-Jean Wu,HPCA,2025
PAISE: PIM-Accelerated Inference Scheduling Engine for Transformer-based LLM.,Hyojung Lee; Daehyeon Baek; Jimyoung Son; Jieun Choi; Kihyo Moon; Minsung Jang,HPCA,2025
Let-Me-In: (Still) Employing In-pointer Bounds Metadata for Fine-grained GPU Memory Safety.,Jaewon Lee; Euijun Chung; Saurabh Singh; Seonjin Na; Yonghae Kim; Jaekyu Lee; Hyesoon Kim,HPCA,2025
VR-Pipe: Streamlining Hardware Graphics Pipeline for Volume Rendering.,Junseo Lee; Jaisung Kim; Junyong Park 0005; Jaewoong Sim,HPCA,2025
Marching Page Walks: Batching and Concurrent Page Table Walks for Enhancing GPU Throughput.,Jiwon Lee; Gun Ko; Myung Kuk Yoon; Ipoom Jeong; Yunho Oh; Won Woo Ro,HPCA,2025
Uni-Render: A Unified Accelerator for Real-Time Rendering Across Diverse Neural Renderers.,Chaojian Li; Sixu Li; Linrui Jiang; Jingqun Zhang; Yingyan Celine Lin,HPCA,2025
LUT-DLA: Lookup Table as Efficient Extreme Low-Bit Deep Learning Accelerator.,Guoyu Li; Shengyu Ye; Chunyun Chen; Yang Wang 0053; Fan Yang 0024; Ting Cao 0003; Cheng Liu; Mohamed M. Sabry Aly; Mao Yang 0004,HPCA,2025
Adyna: Accelerating Dynamic Neural Networks with Adaptive Scheduling.,Zhiyao Li; Bohan Yang 0017; Jiaxiang Li; Taijie Chen; Xintong Li; Mingyu Gao 0001,HPCA,2025
Integrating Prefetcher Selection with Dynamic Request Allocation Improves Prefetching Efficiency.,Mengming Li; Qijun Zhang; Yongqing Ren; Zhiyao Xie,HPCA,2025
TidalMesh: Topology-Driven AllReduce Collective Communication for Mesh Topology.,Dongkyun Lim; John Kim,HPCA,2025
Reuse-Aware Compilation for Zoned Quantum Architectures Based on Neutral Atoms.,Wan-Hsuan Lin; Daniel Bochen Tan; Jason Cong,HPCA,2025
CROSS: Compiler-Driven Optimization of Sparse DNNs Using Sparse/Dense Computation Kernels.,Fangxin Liu; Shiyuan Huang 0004; Ning Yang; Zongwu Wang; Haomin Li 0002; Li Jiang 0002,HPCA,2025
HATT: Hamiltonian Adaptive Ternary Tree for Optimizing Fermion-to-Qubit Mapping.,Yuhao Liu; Kevin Yao; Jonathan Hong; Julien Froustey; Ermal Rrapaj; Costin Iancu; Gushu Li; Yunong Shi,HPCA,2025
TB-STC: Transposable Block-wise N: M Structured Sparse Tensor Core.,Jun Liu 0071; Shulin Zeng; Junbo Zhao 0001; Li Ding 0012; Zeyu Wang; Jinhao Li 0006; Zhenhua Zhu; Xuefei Ning; Chen Zhang; Yu Wang 0002; Guohao Dai,HPCA,2025
Make LLM Inference Affordable to Everyone: Augmenting GPU Memory with NDP-DIMM.,Lian Liu; Shixin Zhao; Bing Li 0017; Haimeng Ren; Zhaohui Xu; Mengdi Wang 0004; Xiaowei Li 0001; Yinhe Han 0001; Ying Wang 0001,HPCA,2025
Mascot: Predicting Memory Dependencies and Opportunities for Speculative Memory Bypassing.,Karl H. Mose; Sebastian S. Kim; Alberto Ros 0001; Timothy M. Jones 0001; Robert D. Mullins,HPCA,2025
Cooperative Warp Execution in Tensor Core for RISC-V GPGPU.,Abubakr Nada; Giuseppe Maria Sarda; Erwan Lenormand,HPCA,2025
Variable Read Disturbance: An Experimental Analysis of Temporal Variation in DRAM Read Disturbance.,Ataberk Olgun; F. Nisa Bostanci; Ismail Emir Yüksel; Oguzhan Canpolat; Haocong Luo; Geraldo F. Oliveira; A. Giray Yaglikçi; Minesh Patel; Onur Mutlu,HPCA,2025
ARTEMIS: Agile Discovery of Efficient Real-Time Systems-on-Chips in the Heterogeneous Era.,Subhankar Pal; Aporva Amarnath; Behzad Boroujerdian; Augusto Vega; Alper Buyuktosunoglu; John-David Wellman; Vijay Janapa Reddi; Pradip Bose,HPCA,2025
InstAttention: In-Storage Attention Offloading for Cost-Effective Long-Context LLM Inference.,Xiurui Pan; Endian Li; Qiao Li 0001; Shengwen Liang; Yizhou Shan; Ke Zhou 0001; Yingwei Luo; Xiaolin Wang 0001; Jie Zhang 0048,HPCA,2025
EDA: Energy-Efficient Inter-Layer Model Compilation for Edge DNN Inference Acceleration.,Bo Ren Pao; I-Chia Chen; En-Hao Chang; Tsung Tai Yeh,HPCA,2025
FHENDI: A Near-DRAM Accelerator for Compiler-Generated Fully Homomorphic Encryption Applications.,Yongmo Park; Aporva Amarnath; Subhankar Pal; Karthik Swaminathan; Alper Buyuktosunoglu; Hayim Shaul; Ehud Aharoni; Nir Drucker; Wei D. Lu; Omri Soceanu; Pradip Bose,HPCA,2025
FIGLUT: An Energy-Efficient Accelerator Design for FP-INT GEMM Using Look-Up Tables.,Gunho Park; Hyeokjun Kwon; Jiwoo Kim; Jeongin Bae; Baeseong Park; Dongsoo Lee; Youngjoo Lee,HPCA,2025
AutoRFM: Scaling Low-Cost in-DRAM Trackers to Ultra-Low Rowhammer Thresholds.,Moinuddin Qureshi,HPCA,2025
"SPARK: Sparsity Aware, Low Area, Energy-Efficient, Near-memory Architecture for Accelerating Linear Programming Problems.",Siddhartha Raman Sundara Raman; Lizy Kurian John; Jaydeep P. Kulkarni,HPCA,2025
Architecting Value Prediction around In-Order Execution.,Pierre Ravenel; Arthur Perais; Benoît Dupont de Dinechin; Frédéric Pétrot,HPCA,2025
Machine Learning-Guided Memory Optimization for DLRM Inference on Tiered Memory.,Jie Ren; Bin Ma; Shuangyan Yang; Benjamin Francis; Ehsan K. Ardestani; Min Si; Dong Li,HPCA,2025
HILP: Accounting for Workload-Level Parallelism in System-on-Chip Design Space Exploration.,Joseph Rogers; Lieven Eeckhout; Magnus Jahre,HPCA,2025
FACIL: Flexible DRAM Address Mapping for SoC-PIM Cooperative On-device LLM Inference.,Seong Hoon Seo; Junghoon Kim 0008; Donghyun Lee 0005; Seonah Yoo; Seokwon Moon; Yeonhong Park; Jae W. Lee,HPCA,2025
Delinquent Loop Pre-execution Using Predicated Helper Threads.,Anirudh Seshadri; Eric Rotenberg,HPCA,2025
